Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
4th,RB,WR,WR,QB,QB,WR,RB,WR,WR,0,2,5,2,1607.1049
12th,RB,RB,RB,WR,WR,WR,QB,QB,TE,0,1,7,1,1607.07802
6th,RB,WR,RB,QB,QB,TE,WR,WR,WR,0,3,5,1,1607.02552
6th,RB,WR,WR,WR,WR,WR,TE,QB,WR,1,5,2,1,1607
1st,WR,RB,WR,WR,QB,QB,RB,RB,TE,0,2,5,2,1607
1st,RB,WR,WR,RB,WR,WR,WR,QB,RB,1,2,3,3,1607
1st,WR,WR,WR,QB,RB,TE,TE,QB,RB,0,4,5,0,1607
6th,RB,WR,TE,TE,QB,QB,RB,RB,RB,0,1,8,0,1607
1st,RB,WR,WR,WR,QB,RB,TE,QB,WR,1,3,4,1,1607
6th,RB,WR,WR,QB,WR,WR,TE,WR,QB,0,6,2,1,1607
6th,RB,RB,RB,WR,WR,QB,QB,WR,TE,0,2,6,1,1607
4th,RB,WR,WR,WR,QB,TE,RB,RB,WR,1,3,4,1,1607
1st,RB,WR,WR,TE,WR,WR,RB,QB,WR,1,4,3,1,1607
1st,RB,TE,WR,WR,WR,TE,QB,QB,RB,1,3,5,0,1607
4th,RB,WR,WR,QB,WR,TE,WR,WR,QB,0,6,2,1,1607
9th,RB,WR,WR,QB,WR,QB,WR,TE,WR,0,6,2,1,1607
4th,RB,WR,WR,WR,QB,RB,QB,TE,WR,0,4,3,2,1607
6th,RB,RB,WR,WR,WR,TE,QB,WR,QB,0,3,4,2,1607
12th,WR,RB,RB,WR,QB,QB,WR,RB,TE,0,4,4,1,1607
1st,RB,WR,WR,WR,TE,WR,WR,QB,RB,1,5,3,0,1607
6th,RB,WR,WR,WR,WR,QB,RB,WR,TE,1,4,3,1,1607
1st,RB,RB,RB,TE,WR,WR,QB,WR,QB,0,2,6,1,1606.99136
12th,WR,RB,TE,RB,RB,WR,QB,QB,WR,0,3,5,1,1606.96162
12th,WR,RB,TE,RB,WR,WR,QB,RB,RB,1,2,5,1,1606.94134
1st,RB,RB,TE,TE,RB,WR,WR,QB,QB,0,2,7,0,1606.91484
1st,WR,RB,TE,WR,QB,RB,RB,QB,TE,0,2,7,0,1606.90228
4th,WR,RB,WR,QB,WR,WR,QB,RB,RB,0,2,5,2,1606.8504
1st,WR,RB,WR,TE,WR,QB,TE,RB,RB,1,2,6,0,1606.84894
6th,RB,RB,TE,WR,QB,QB,RB,WR,WR,0,3,5,1,1606.82634
1st,RB,WR,WR,WR,WR,WR,QB,WR,RB,1,4,1,3,1606.79734
6th,WR,WR,QB,RB,QB,WR,RB,WR,RB,0,3,4,2,1606.7443
6th,RB,RB,RB,WR,WR,WR,QB,QB,TE,0,1,7,1,1606.63816
6th,RB,WR,WR,QB,QB,RB,TE,RB,WR,0,3,5,1,1606.57678
6th,RB,WR,QB,WR,WR,TE,QB,RB,RB,0,2,5,2,1606.56642
1st,WR,WR,WR,WR,WR,WR,WR,QB,TE,1,7,0,1,1606.5305
